Year,CO2_Mt
1900,1961.491
1901,2023.964
1902,2074.8
1903,2262.046
1904,2287.509
1905,2437.062
1906,2544.486
1907,2900.325
1908,2785.687
1909,2901.167
1910,3043.326
1911,3090.098
1912,3246.477
1913,3516.533
1914,3189.786
1915,3140.277
1916,3391.973
1917,3548.138
1918,3499.686
1919,3033.839
1920,3537.837
1921,3106.184
1922,3254.463
1923,3690.698
1924,3702.777
1925,3740.634
1926,3677.407
1927,4012.947
1928,3996.312
1929,4288.211
1930,3958.096
1931,3539.32
1932,3192.592
1933,3362.683
1934,3656.187
1935,3835.742
1936,4207.931
1937,4496.715
1938,4229.619
1939,4470.135
1940,4884.664
1941,4999.093
1942,4982.524
1943,5075.273
1944,5162.486
1945,4289.312
1946,4608.547
1947,5165.206
1948,5447.885
1949,5204.035
1950,5930.244
1951,6381.429
1952,6467.46
1953,6650.885
1954,6789.529
1955,7443.896
1956,7926.013
1957,8185.645
1958,8417.188
1959,8854.689
1960,9387.011
1961,9415.042
1962,9747.287
1963,10266.772
1964,10824.466
1965,11310.601
1966,11862.646
1967,12237.369
1968,12905.283
1969,13761.785
1970,14899.124
1971,15503.854
1972,16224.597
1973,17085.094
1974,17011.072
1975,17052.752
1976,17989.111
1977,18498.635
1978,19069.291
1979,19609.02
1980,19488.523
1981,19022.902
1982,18871.098
1983,18991.91
1984,19647.801
1985,20311.902
1986,20614.963
1987,21250.074
1988,22085.131
1989,22386.637
1990,22728.988
1991,23186.102
1992,22528.172
1993,22755.787
1994,22992.947
1995,23532.084
1996,24258.168
1997,24401.906
1998,24303.777
1999,24853.729
2000,25510.553
2001,25706.293
2002,26276.869
2003,27669.49
2004,28632.506
2005,29614.395
2006,30628.396
2007,31534.645
2008,32074.199
2009,31541.922
2010,33355.902
2011,34504.539
2012,35000.02
2013,35301.656
2014,35450.094
2015,35404.898
